(0,0)
(-0.0534713,-0.0402891)
(-0.0681212,-0.0555465)
(-0.0643658,-0.0298228)
(-0.0708059,-0.0266086)
(-0.0156279,0.00465498)
(0.000670558,0.0410837)
(-0.0205248,-0.042936)
(-0.0639626,0.00532006)
(0.0996485,0.0358788)
(0.15953,0.0189599)
(0.0313208,0.108488)
(-0.0456251,0.244974)
(-0.0254096,-0.0462525)
(-0.0943347,-0.0636728)
(-0.0417416,-0.121941)
(-0.0638194,-0.110311)
(0.000805378,-0.0996152)
(-0.0416521,0.0107481)
(-0.126241,0.0649093)
(-0.283929,0.179319)
(0.0195798,-0.019035)
(0.032149,0.0290675)
(0.0759421,-0.0639433)
(0.0275507,-0.0991996)
(0.048861,-0.0441486)
(-0.0225302,0.0257793)
(-0.0747907,0.00563999)
(-0.244256,-0.112139)
(0.0257431,0.0107573)
(0.00514224,0.0618608)
(0.0483573,-0.00537884)
(0.0583795,-0.0214682)
(0.0383954,0.0191958)
(0.00207963,0.0446095)
(-0.0160976,-0.0318412)
(-0.0308577,-0.159781)
(-0.000180659,0.0155279)
(-0.0417829,0.0231812)
(0.00162319,-0.0102021)
(0.00559813,0.0273253)
(0.0317597,0.0240068)
(0.0160837,0.0719525)
(-0.0250325,-0.0468942)
(0.0164134,-0.0621409)
(-0.00913726,0.00824319)
(-0.0336008,0.0254671)
(-0.00999289,0.00342788)
(-0.0294532,-0.0399706)
(0.0193042,0.0238026)
(0.0152248,0.0265842)
(-0.0307882,-0.0244792)
(-0.00447687,-0.0285209)
(-0.14051,0.0272181)
(-0.0326916,-0.0140804)
(-0.0108087,0.0114163)
(0.0156692,0.0615594)
(-0.0597593,0.0119092)
(0.0200031,-0.0166269)
(0.247606,0.0350925)
(0.0479225,0.384193)
(-0.0680807,-0.046476)
(-0.0836583,-0.0171021)
(-0.0710324,0.0203278)
(0.0251551,0.0152024)
(-0.253822,0.325712)
(0.0861085,-0.12016)
(-0.0976093,-0.0932501)
(0.00976987,-0.0525428)
(-0.00193279,0.0365374)
(-0.33598,-0.123755)
(0.079749,0.0382758)
(0.0218282,-0.0897174)
(0.0814467,-0.00221295)
(-0.0058907,-0.00314023)
(-0.0360715,-0.269791)
(-0.0361771,0.0622556)
(0.0526164,0.0431366)
(0.0403233,0.0586071)
(-0.00537888,0.000307173)
(0.0758625,-0.0761771)
(-0.0330912,-0.00812622)
(-0.0228467,0.00013287)
(0.0181216,0.0233208)
(0.00971847,0.0306251)
(0.0104034,0.0076828)
(-0.177919,0.0727931)
(0.00549065,0.0180092)
(-0.00570346,0.00311471)
(0.029258,-0.012692)
(-0.0480487,0.0450118)
(0.00951852,-0.0182165)
(0.311878,0.0156602)
(0.129353,0.443095)
(-0.0608162,0.00471708)
(-0.0496071,0.0636981)
(0.000674964,0.0533851)
(0.0234798,-0.00934367)
(-0.198773,0.39341)
(0.0549103,-0.12521)
(-0.1104,0.00798879)
(0.00727122,-0.00508972)
(0.0168085,-0.00623004)
(-0.343378,-0.107457)
(0.0980321,0.0796413)
(0.0114799,-0.0492157)
(0.0286627,0.00700808)
(-0.00762804,-0.0115181)
(-0.024496,-0.3263)
(-0.0366829,0.114372)
(0.089206,0.0637542)
(0.0125862,0.0252595)
(-0.00694776,-0.0126671)
(0.133111,-0.0590103)
(-0.0478142,-0.00452583)
(-0.029452,0.0481221)
(0.00817367,0.0110729)
(-0.00191734,0.0237616)
(-0.00659607,0.0367426)
(-0.106599,0.0124765)
(-0.0187261,-0.0164094)
(-0.00779059,-0.0160822)
(-0.0149351,-0.0287163)
(0.0110515,-0.0284155)
(-0.0353692,0.0213009)
(0.236639,0.0431351)
(0.0448571,0.391044)
(-0.0718235,-0.0608304)
(-0.0946254,-0.0225138)
(0.00449969,-0.0343493)
(-0.00575672,0.0340605)
(-0.24656,0.327069)
(0.0809189,-0.118436)
(-0.100526,-0.0845752)
(0.00628185,0.000247303)
(0.00162172,-0.0129284)
(-0.334499,-0.128035)
(0.0771816,0.0413916)
(0.0264856,-0.0866078)
(-0.0364323,-0.0137276)
(-0.0132998,0.00933287)
(-0.0407612,-0.268763)
(-0.0391516,0.0634525)
(0.0504069,0.0388403)
(-0.0195359,-0.028605)
(0.00324934,0.0253853)
(0.0725981,-0.0778329)
(-0.0376029,-0.0144641)
(-0.0296866,-0.00397696)
(-0.00833156,-0.00952077)
(0.0118555,-0.0140082)
(0.00701425,0.00302049)
(-0.044812,-0.0463531)
(-0.0525736,-0.0238563)
(-6.69493e-05,-0.0188881)
(-0.0211992,-0.0968331)
(0.0277865,0.000326473)
(-0.0364139,0.0136772)
(0.145411,0.0176559)
(-0.0420246,0.245892)
(-0.0374352,-0.136458)
(-0.0668291,-0.114896)
(0.0741919,-0.0049572)
(-0.0179756,-0.00249139)
(-0.279578,0.179251)
(0.0704825,-0.0684119)
(0.0261594,-0.0947634)
(-0.00111661,0.0516336)
(0.0125249,-0.0466787)
(-0.242711,-0.114119)
(0.0447709,-0.00519576)
(0.0636551,-0.0193106)
(-0.088068,-0.00220669)
(-0.00765525,0.00178466)
(-0.0329747,-0.161194)
(-6.21008e-05,-0.0137279)
(0.00853739,0.0247494)
(-0.0483691,-0.0634777)
(0.000239003,0.00621248)
(0.0149432,-0.062422)
(-0.0117912,-0.000244067)
(-0.0329806,-0.0426094)
(-0.0196841,-0.0225238)
(-0.00508271,-0.0227823)
(-0.00792559,-0.0295499)
(-0.0477655,-0.0507748)
(-0.0615806,-0.0622763)
(0.0117722,-0.00883937)
(0.002062,-0.0418418)
(0.0133732,0.0444315)
(0.0558555,-0.00262365)
(0.0949653,0.0391912)
(0.0343044,0.11337)
(-0.0246227,-0.0545712)
(-0.096457,-0.0698371)
(-0.000513204,0.111173)
(0.0440199,-0.00270778)
(-0.121425,0.069209)
(0.0169598,-0.0218143)
(0.0297407,0.0306157)
(-0.0427262,0.0488037)
(0.0284048,-0.0271932)
(-0.0715191,0.00616171)
(0.0240851,0.0118519)
(0.00695569,0.0678702)
(-0.0383642,-0.0258061)
(-0.00561936,-0.0489507)
(-0.0188095,-0.0361)
(-0.000592366,0.0165963)
(-0.0377874,0.0274454)
