(0,0)
(-0.0318989,0.387984)
(-0.315609,-0.636259)
(0.153789,0.103121)
(-0.280371,0.0238937)
(0.714759,0.0943045)
(-0.700464,0.0967842)
(0.192908,-0.107677)
(0.139009,-0.000513917)
(1.54875,0.373172)
(-0.933094,1.01112)
(-0.757149,0.0428266)
(-0.298676,0.0259086)
(0.465457,-1.03303)
(-0.389058,1.09517)
(-0.451228,0.428237)
(0.401767,-0.617625)
(-1.27499,-0.201799)
(0.988066,0.0343729)
(-0.711384,0.00575397)
(0.294202,0.517504)
(-0.225575,0.597426)
(0.198469,-0.606849)
(0.490404,0.128318)
(-0.331746,-0.139853)
(0.864626,-0.328556)
(-0.841649,0.566007)
(-0.0250227,-0.576972)
(-0.161334,-0.660013)
(0.206263,-0.414988)
(0.11964,0.510249)
(-0.293555,0.0521217)
(0.16663,-0.107821)
(-0.815875,0.537207)
(0.89883,-0.527907)
(-0.309033,0.128451)
(0.320608,-0.234483)
(1.04256,-1.2752)
(-1.32198,1.02802)
(-3.0069,0.667706)
(3.21542,-0.435565)
(1.98047,-0.53661)
(-1.92515,0.182725)
(3.10037,-0.964955)
(-2.00032,1.8725)
(0.325673,0.113201)
(0.302438,-0.109953)
(-1.08397,0.677416)
(1.19742,-0.576896)
(-0.34168,-1.49983)
(0.571349,-0.483033)
(-0.84186,0.248598)
(1.47765,-0.125409)
(-1.64393,0.224064)
(-0.540884,0.145821)
(-0.714692,0.521376)
(0.553705,-0.361867)
(-1.34689,-0.0713841)
(1.54272,0.207915)
(0.382398,-0.325364)
(-0.301618,-0.0132591)
(0.175036,0.140274)
(1.88526,-0.0987269)
(-2.09378,-0.133414)
(-0.858819,-0.0323685)
(0.803506,0.386254)
(-1.3885,0.894737)
(0.156731,0.142289)
(0.00417854,0.544617)
(-0.0536398,-0.734005)
(-0.0376818,-0.108437)
(-0.0757687,0.00791768)
(-0.161204,0.401124)
(0.0349969,0.0119377)
(0.123661,-0.0234732)
(-0.356007,-0.44357)
(0.522285,0.344915)
(0.294073,-0.543633)
(0.161852,0.168502)
(-0.288776,-0.224201)
(0.225239,0.640363)
(-0.421075,-0.776894)
(-0.134799,-0.350863)
(0.33417,0.269776)
(-0.681678,-0.518051)
(-0.549804,0.0500399)
(0.53551,-0.241129)
(-0.357863,-0.0366671)
(0.0259462,0.144858)
(1.91482,0.254963)
(-1.12322,0.161035)
(0.0993877,-0.914822)
(-0.0229892,0.97696)
(1.43994,0.346144)
(-1.15302,-0.178717)
(-0.345315,-0.112455)
(0.140494,0.479218)
(-0.1676,-0.48864)
(-1.02958,0.184212)
(1.0066,-0.421663)
(-0.391092,-0.458763)
(-0.159806,-0.296779)
(0.485709,0.39204)
(0.980829,-0.392863)
(-1.06378,0.383563)
(0.0570357,0.0102424)
(-0.377492,0.567152)
(0.496998,-0.00234337)
(0.353311,0.115733)
(0.720135,-0.204776)
(-0.479251,-0.825)
(1.06854,0.556887)
(-0.788509,1.33222)
(0.0691626,-0.0308752)
(0.872254,-1.11238)
(-0.99176,0.547575)
(-1.52242,-0.0431657)
(1.08727,-0.833136)
(-1.9341,0.218483)
(-0.602239,0.694169)
(0.721745,-0.12936)
(1.12434,-0.414073)
(-1.11204,1.14713)
(1.41614,-1.32389)
(0.371048,-0.641507)
(-0.490554,0.0766981)
(-1.174,0.661743)
(1.12586,-2.02507)
(-1.18341,1.03572)
(0.478019,-0.576503)
(-2.73919,0.347256)
(1.66574,-0.258212)
(0.156152,-0.0646849)
(-0.338351,0.902269)
(0.0167432,0.0312722)
(-0.863462,0.506154)
(-0.190307,-0.052478)
(0.253272,-0.449486)
(1.26153,-0.0489149)
(0.000973723,-0.183691)
(-0.484463,0.502149)
(-1.21188,-0.198754)
(0.302769,-0.0942687)
(0.0415916,-0.118723)
(1.61754,0.221723)
(-0.544095,-0.310767)
(1.52394,0.673267)
(-0.386244,-0.147255)
(-0.536353,0.663955)
(-0.258185,0.0628246)
(-1.4787,0.334863)
(0.266338,-0.24574)
(-0.139888,-0.520064)
(0.960733,-1.44027)
(-0.0351474,0.193078)
(0.0902327,0.767733)
(-0.728004,1.1521)
(-0.0114232,0.448943)
(-0.188356,0.0286118)
(-0.88509,0.060432)
(-0.84532,-0.706791)
(-0.422441,1.21401)
(0.506185,-0.994174)
(1.68737,0.18751)
(0.721205,-0.714927)
(-0.23617,0.57596)
(-1.2893,0.269729)
(-0.745971,1.02892)
(0.00497903,-0.523298)
(1.33895,-0.517398)
(0.759788,-1.90687)
(1.65523,-0.801575)
(-1.29827,0.284324)
(0.578484,-0.63178)
(-2.16392,0.713597)
(2.30479,0.285348)
(-1.47649,0.576155)
(-1.42566,0.0437873)
(0.467297,0.127944)
(-1.94009,1.43313)
(2.1664,-0.781055)
(2.64141,-0.251572)
(0.119861,-0.0405847)
(-0.727678,0.555549)
(1.59065,-1.08502)
(-1.69639,0.702104)
(-1.99168,0.56567)
(-0.940771,-0.559904)
(1.00586,-0.746473)
(-1.44638,1.07629)
(1.39912,-0.349105)
(2.03381,-1.09911)
(0.855279,0.177294)
(-0.67382,-0.0370362)
(0.950586,-0.178545)
(1.67831,0.044584)
(-0.821689,0.0301687)
(4.65121,-1.24165)
(-2.68652,1.90114)
(-0.920566,0.350939)
(-0.0551328,-0.131881)
(0.553302,-1.54724)
(0.919958,0.346844)
(-0.294496,-0.429765)
(-1.53878,0.396589)
(-0.169421,-0.3389)
(0.296395,0.493124)
(1.74321,-0.179211)
(-0.842861,0.400704)
(-0.556666,-0.613563)
(-0.299958,0.53881)
(-1.9319,0.459775)
(0.922704,0.244324)
(1.71099,-0.897435)
(1.17678,-0.437097)
(-1.18308,0.439169)
(-1.24098,0.818484)
(-0.827151,0.998743)
(1.46127,-0.630093)
(0.943713,-0.465485)
(0.825252,-1.0621)
(-1.12923,-0.153416)
(1.28917,-0.683366)
(-0.743439,0.487436)
(2.32888,-0.569253)
(2.67086,0.16714)
(-1.79173,0.161996)
(-1.57402,1.31492)
(-2.80636,0.107228)
(0.48593,-0.158793)
(1.22458,-0.966811)
(2.15663,-0.421326)
(-1.30684,-0.441696)
(-1.08031,0.958086)
(-2.19876,0.954764)
(1.22135,0.0590853)
(-0.666902,0.797152)
(0.784025,-0.15864)
(0.0480468,0.187993)
(1.19118,-0.352708)
(-0.890419,0.190493)
(1.26706,0.0641785)
(-0.464874,0.403592)
(-0.351939,0.79476)
(1.22287,-1.24257)
(-1.47611,0.717745)
(-1.71366,0.1663)
(0.6009,0.140872)
(-1.25709,-0.747231)
(-0.922719,0.841744)
(0.896903,-0.437871)
(1.32788,-0.550423)
(-0.541162,0.202389)
(0.593818,-0.309756)
(0.479649,-0.918858)
(-0.63137,0.152107)
(-1.47594,0.837111)
(0.306416,-1.14625)
(-0.533854,-0.0894013)
(-0.0303414,0.173023)
(-2.52766,-0.0240266)
(1.4072,0.0710188)
(-1.04982,1.13968)
(0.00297961,-0.0540488)
(-0.34837,-0.10149)
(-0.699143,0.28406)
(-0.740417,0.922598)
(-0.00862139,-0.365107)
(1.1016,0.0784118)
(0.653998,-1.36213)
(-0.310417,0.432089)
(-1.13306,-0.376957)
(-0.713174,0.687248)
(0.328618,-0.27502)
(1.40601,0.593005)
(-0.285554,-0.639998)
(1.72247,0.180558)
(-0.807346,0.67838)
(-1.0207,0.834125)
(-0.422504,0.284919)
(-0.801688,-0.630851)
(0.441496,-0.554251)
(0.0200487,-0.647391)
(0.138411,-0.426136)
(-0.175963,0.268487)
(0.0114101,0.945936)
(-0.0784474,0.0269788)
(-0.300833,0.678943)
(0.116908,-0.0436489)
(-1.35613,0.208364)
(-1.25649,0.308702)
(-0.0988047,0.285384)
(0.856799,-1.12436)
(1.87862,-0.021956)
(0.234831,0.259081)
(-0.55665,0.723535)
(-1.49283,0.406079)
(-0.175093,0.0841799)
(0.113581,-0.800649)
(1.64089,-0.692767)
(-0.0596526,-1.02804)
(-1.11033,-0.520319)
(2.11627,-0.80416)
(-0.872007,-0.322321)
(0.655382,0.388245)
(1.05011,0.747281)
(-0.463764,-0.626752)
(-1.11436,-0.914629)
(1.20266,-0.605528)
(0.910359,1.25953)
(0.835669,-1.51174)
(-0.335701,-0.449158)
(0.637722,0.837374)
(-0.518216,-0.272566)
(-1.83846,-0.517672)
(3.34548,-0.864156)
(-0.568622,0.813601)
(0.423554,-1.06365)
(-0.750872,1.45419)
(1.29362,0.32921)
(-0.0486645,-0.524072)
